Dénomination,Voies d'admninistration,Autorisation,,
A 313 200 000 UI POUR CENT,pommade,cutanée,,
A 313 50 000 U.I.,capsule molle,orale,,
ABASAGLAR 100 unités/ml,solution injectable,sous-cutanée,,
ABELMOSCHUS BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
ABIES CANADENSIS BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
ABIES NIGRA BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
ABIES PECTINATA BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
ABIES PECTINATA LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
ABIES PECTINATA WELEDA,granules et  solution en gouttes en gouttes,orale/sublinguale,,
ABILIFY 1 mg/mL,solution buvable,orale,,
ABILIFY 10 mg,comprimé,orale,,
ABILIFY 15 mg,comprimé,orale,,
ABILIFY 5 mg,comprimé,orale,,
ABILIFY 7, solution injectable,solution injectable,,
ABILIFY MAINTENA 300 mg,poudre et  solvant pour suspension injectable à libération prolongée,intramusculaire,,
ABILIFY MAINTENA 400 mg,poudre et  solvant pour suspension injectable à libération prolongée,intramusculaire,,
ABRAXANE 5 mg/ml,poudre pour suspension injectable pour perfusion,intraveineuse,,
ABROTANUM BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
ABROTANUM LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
ABROTANUM WELEDA,granules et  crème et  solution en gouttes en gouttes,cutanée/orale/sublinguale,,
ABSINTHIUM BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
ABSINTHIUM LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
ABSTRAL 100 microgrammes,comprimé,sublinguale,,
ABSTRAL 200 microgrammes,comprimé,sublinguale,,
ABSTRAL 300 microgrammes,comprimé,sublinguale,,
ABSTRAL 400 microgrammes,comprimé,sublinguale,,
ABSTRAL 600 microgrammes,comprimé,sublinguale,,
ABSTRAL 800 microgrammes,comprimé,sublinguale,,
ABUFENE 400 mg,comprimé,orale,,
ACALYPHA INDICA BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
ACAMPROSATE BIOGARAN 333 mg,comprimé pelliculé gastro-résistant(e),orale,,
